Year,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_EDMONTON,MEAN_TEMPERATURE_HALIFAX,MEAN_TEMPERATURE_MONCTON,MEAN_TEMPERATURE_MONTREAL,MEAN_TEMPERATURE_OTTAWA,MEAN_TEMPERATURE_QUEBEC,MEAN_TEMPERATURE_SASKATOON,MEAN_TEMPERATURE_STJOHNS,MEAN_TEMPERATURE_TORONTO,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_EDMONTON,TOTAL_PRECIPITATION_HALIFAX,TOTAL_PRECIPITATION_MONCTON,TOTAL_PRECIPITATION_MONTREAL,TOTAL_PRECIPITATION_OTTAWA,TOTAL_PRECIPITATION_QUEBEC,TOTAL_PRECIPITATION_SASKATOON,TOTAL_PRECIPITATION_STJOHNS,TOTAL_PRECIPITATION_TORONTO,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WHITEHORSE,TOTAL_PRECIPITATION_WINNIPEG,Temperature Change (°C),Temperature Change (°F),CO2 Emissions (per capita),Total Sea Ice Area (millions km²)
1968,3.1163934426229507,1.7704918032786885,6.163934426229508,4.867213114754098,5.601366120218579,5.378415300546448,3.61120218579235,2.1956284153005465,4.395355191256831,6.720218579234972,9.879781420765028,-1.1248633879781422,2.083879781420765,0.9797814207650274,0.9631147540983607,3.376502732240437,3.409016393442623,2.220218579234973,2.3295081967213114,2.4633879781420767,1.230054644808743,4.034426229508196,2.43551912568306,3.5407103825136614,0.8161202185792349,1.784153005464481,0.2,32.36,14.626162,1.26
1969,2.5205479452054793,0.5693150684931507,6.977534246575343,5.867671232876712,6.098356164383562,5.793698630136986,4.768219178082192,0.7756164383561645,5.556712328767124,6.940273972602739,9.46958904109589,-1.1526027397260274,1.9934246575342467,1.1728767123287671,1.2682191780821916,3.9652054794520546,3.3279452054794523,2.73013698630137,2.38986301369863,3.311780821917808,1.0690410958904109,4.661917808219178,1.8282191780821917,2.596712328767123,0.6906849315068493,1.5035616438356163,0.4,32.72,14.598572,1.59
1970,3.1093150684931508,0.7402739726027397,5.822465753424657,4.7216438356164385,5.65917808219178,5.241095890410959,4.026849315068493,0.8084931506849315,5.494520547945205,6.796438356164383,9.434246575342465,-0.6690410958904109,1.4594520547945207,1.0898630136986303,1.2180821917808218,3.658082191780822,3.267123287671233,2.213698630136986,2.407945205479452,3.0684931506849313,1.027945205479452,4.986301369863014,2.0665753424657534,2.3972602739726026,0.670958904109589,1.648767123287671,-0.2,31.64,15.913101,1.46
1971,3.2364383561643835,1.1673972602739726,6.119178082191781,4.954246575342466,5.692876712328768,5.385205479452055,3.893150684931507,1.055068493150685,5.438630136986301,7.118630136986302,9.088493150684933,-2.422465753424657,1.877808219178082,1.0753424657534247,1.1317808219178083,4.87041095890411,3.0972602739726027,2.210684931506849,2.527945205479452,3.4827397260273973,1.070958904109589,4.346849315068493,1.847123287671233,3.6569863013698627,0.7252054794520547,1.4394520547945204,0.0,32.0,16.089348,1.37
1972,2.039344262295082,0.3251366120218579,5.185519125683061,3.909016393442623,5.087431693989071,4.802732240437158,2.8076502732240436,0.298360655737705,3.6890710382513663,5.969398907103826,9.066393442622951,-3.5185792349726777,0.7254098360655737,1.318032786885246,1.5333333333333334,5.276229508196721,4.0710382513661205,3.2234972677595626,3.1860655737704917,3.7423497267759562,0.8382513661202186,3.9409836065573773,2.3393442622950817,3.398360655737705,0.801639344262295,1.160655737704918,-2.0,28.4,17.128956,1.66
1973,3.5556164383561644,1.5186301369863013,6.648219178082192,5.847945205479452,7.01945205479452,6.88,5.053424657534246,2.211780821917808,4.964657534246575,8.024657534246575,9.588219178082191,-2.768219178082192,3.1345205479452054,0.9904109589041096,1.6073972602739728,4.19013698630137,3.2947945205479447,2.83013698630137,2.850958904109589,4.323835616438356,1.1115068493150684,3.744931506849315,2.3306849315068496,2.739178082191781,0.5906849315068493,1.652876712328767,0.6,33.08,16.93627,1.33
1974,4.107671232876712,1.543013698630137,5.597534246575342,4.591506849315069,5.46,5.493972602739726,3.395068493150685,1.558082191780822,3.787945205479452,6.870958904109589,9.90876712328767,-1.569041095890411,1.6534246575342466,0.9526027397260274,1.301917808219178,3.9265753424657537,3.4328767123287673,2.4553424657534246,2.318356164383562,3.4983561643835617,1.1939726027397262,4.253698630136986,2.1734246575342464,3.42027397260274,1.0057534246575344,1.3994520547945206,-0.8,30.56,17.07043,1.45
1975,2.897534246575342,0.9542465753424656,6.103287671232876,5.052602739726027,6.597534246575342,6.529589041095891,4.45013698630137,1.1484931506849314,4.061095890410959,7.771232876712329,9.154246575342466,-2.888493150684931,2.4465753424657533,1.0115068493150685,1.2676712328767124,4.031780821917808,3.5517808219178084,3.264931506849315,2.4284931506849317,3.3706849315068492,0.9843835616438357,3.5863013698630137,2.1646575342465755,3.616712328767123,0.8504109589041096,1.6312328767123287,-0.1,31.82,17.140574,1.31
1976,5.194808743169399,3.1601092896174863,6.425956284153005,5.0442622950819676,5.077049180327869,4.896448087431693,3.0079234972677598,3.1592896174863387,4.970218579234972,6.213114754098361,9.702732240437157,0.11202185792349727,2.293169398907104,1.1087431693989072,1.2510928961748633,4.079234972677596,3.6043715846994537,2.962021857923497,2.307377049180328,4.035792349726775,0.791256830601093,4.134426229508197,2.26120218579235,2.754918032786885,0.6010928961748634,1.1685792349726776,0.0,32.0,17.00912,1.46
1977,4.030684931506849,2.5323287671232877,6.435890410958904,5.1695890410958905,6.114520547945206,5.95013698630137,4.346575342465753,2.6104109589041093,4.9112328767123286,7.080821917808219,9.792328767123287,-0.026027397260273893,3.23013698630137,1.152054794520548,1.1936986301369863,4.2443835616438355,3.9709589041095894,2.6476712328767125,2.7676712328767126,3.2150684931506848,0.9438356164383561,3.803835616438356,2.6610958904109587,2.8282191780821915,0.8698630136986302,1.9589041095890412,1.0,33.8,17.184347,1.27
1978,2.778356164383562,1.9767123287671233,5.643561643835617,4.437260273972602,5.138356164383562,5.131232876712329,3.3635616438356166,1.5663013698630137,4.116438356164384,6.306027397260274,9.961643835616439,0.03643835616438358,1.6032876712328767,1.4608219178082194,1.481095890410959,3.3583561643835615,2.8928767123287673,2.295616438356164,2.358630136986301,3.1084931506849314,0.9232876712328767,4.160821917808219,1.8794520547945206,2.785753424657534,0.5715068493150685,1.2643835616438357,-0.5,31.1,17.329044,1.67
1979,3.367123287671233,1.7778082191780824,6.796164383561644,5.980821917808219,6.427671232876712,6.050684931506849,4.70989010989011,1.1484931506849314,5.365753424657535,6.9520547945205475,10.06,-1.1915068493150685,0.8293150684931506,0.7813698630136986,1.1769863013698632,5.158356164383561,4.338904109589041,2.5293150684931507,3.0446575342465754,3.5925824175824177,0.8874301675977654,4.082465753424657,2.4087671232876713,2.701917808219178,0.7079452054794519,1.2917808219178082,-0.2,31.64,18.223114,1.43
1980,3.9710382513661204,2.2,5.531693989071038,4.443989071038251,5.213661202185793,5.156284153005465,3.334972677595628,2.644535519125683,4.048360655737705,6.677049180327869,9.833333333333334,-0.6418032786885245,2.6163934426229507,1.2191256830601092,1.680327868852459,3.6409836065573766,3.1579234972677592,2.4920765027322407,2.4330601092896176,3.1620218579234973,0.7901639344262295,4.991803278688525,2.3166666666666664,3.8756830601092895,0.768032786885246,1.1073770491803279,0.4,32.72,18.050495,1.4
1981,5.898082191780823,4.537808219178082,6.981095890410959,5.956164383561644,6.5063013698630145,6.3953424657534255,4.747123287671233,4.678904109589041,5.912054794520548,7.18027397260274,10.464931506849315,1.2805479452054793,4.444109589041096,1.38986301369863,1.0156164383561643,4.791506849315069,4.082465753424657,2.692876712328767,2.9627397260273973,3.5704109589041098,0.8317808219178083,4.858630136986301,2.1652054794520548,3.9978082191780824,0.6528767123287672,1.3142465753424657,2.0,35.6,17.292418,1.17
1982,2.3728767123287673,0.3293150684931507,6.115342465753424,4.772328767123288,5.958904109589041,5.7246575342465755,3.775616438356164,0.5876712328767123,4.279452054794521,6.906575342465754,9.620821917808218,-2.6884931506849314,1.96,1.1531506849315067,1.415068493150685,3.6583561643835614,3.278082191780822,2.330958904109589,2.404931506849315,2.9347945205479453,1.132876712328767,4.692054794520548,2.321643835616438,3.4523287671232876,0.6564383561643835,1.324931506849315,-1.0,30.2,16.485767,1.35
1983,4.268219178082192,2.36958904109589,7.189863013698631,5.961369863013699,6.964657534246575,6.582191780821918,5.132328767123288,2.5164835164835164,5.494246575342466,7.821643835616438,10.397534246575342,-1.4871232876712328,3.564657534246575,0.8076712328767124,1.1224657534246576,4.312054794520548,3.1517808219178085,3.0778082191780824,2.79972602739726,3.7424657534246575,1.145879120879121,4.604109589041096,2.1797260273972605,4.080821917808219,0.6356164383561644,1.3136986301369864,0.1,32.18,16.068346,1.6
1984,4.144808743169399,2.652459016393443,7.033333333333333,5.536065573770492,6.514794520547945,6.298087431693989,4.650819672131147,3.0877049180327867,5.231420765027322,7.305737704918033,9.792622950819672,0.15628415300546444,3.2601092896174864,1.0032786885245901,1.2262295081967214,3.6715846994535517,3.5374316939890713,2.358630136986301,2.5229508196721313,2.8811475409836067,0.8475409836065574,4.678142076502732,1.9601092896174863,3.884972677595629,0.6907103825136612,1.6568306010928961,0.2,32.36,16.56514,1.47
1985,3.855616438356164,2.4306849315068493,5.642739726027397,4.495890410958904,5.897260273972603,5.710958904109589,3.915068493150685,1.4887671232876711,3.7306849315068495,7.261095890410959,8.924383561643836,-0.6490410958904109,1.4816438356164385,1.064931506849315,1.082191780821918,3.5515068493150683,2.55972602739726,2.3863013698630136,2.286849315068493,2.7104109589041094,0.918082191780822,3.3736986301369867,2.564931506849315,2.2180821917808218,0.7200000000000001,1.4978082191780824,0.0,32.0,16.265327,1.35
1986,5.3720547945205475,3.676438356164384,5.721095890410958,4.3561643835616435,6.132054794520547,6.1,3.671232876712329,3.504109589041096,4.2564383561643835,7.626027397260274,10.451232876712329,0.3104109589041095,3.228493150684932,1.2665753424657535,1.3484931506849316,4.028767123287671,3.0331506849315066,2.8326027397260276,2.9794520547945207,3.913972602739726,1.0646575342465754,4.076986301369863,2.606027397260274,3.3389041095890413,0.9608219178082191,1.2904109589041095,0.0,32.0,15.440365,1.54
1987,6.7783561643835615,5.021917808219178,6.074520547945205,5.079452054794521,6.8561643835616435,6.887945205479451,4.913698630136986,5.133424657534246,4.632054794520548,8.60986301369863,11.028219178082193,1.4542465753424656,5.496164383561643,0.9638356164383562,1.2986301369863014,3.661369863013699,3.302739726027397,2.4682191780821916,2.4863013698630136,3.095616438356165,0.6271232876712329,3.737808219178082,1.9468493150684931,2.5684931506849313,0.576986301369863,1.2564383561643835,1.5,34.7,16.238403,1.39
1988,5.637158469945355,4.218579234972678,6.198360655737704,4.996994535519126,6.621584699453552,6.2366120218579235,4.3469945355191255,3.555191256830601,5.232786885245901,7.893715846994535,10.502185792349728,0.2390710382513661,3.6792349726775955,1.1057377049180328,1.4125683060109289,4.244262295081968,3.09672131147541,2.194535519125683,2.375136612021858,2.8743169398907105,0.8163934426229509,4.118032786885246,1.650273224043716,3.4196721311475407,0.9183060109289618,1.0401639344262295,0.8,33.44,16.921797,1.26
1989,3.9854794520547947,2.5413698630136987,5.635616438356164,4.403021978021978,5.724383561643836,5.303835616438357,3.4517808219178083,2.018082191780822,4.595068493150685,7.083561643835616,10.203835616438356,-0.41041095890410956,1.9405479452054792,1.0645604395604396,1.407123287671233,3.1567123287671235,2.646153846153846,2.5813698630136988,2.26986301369863,3.266575342465753,0.9931506849315068,3.143013698630137,1.7249315068493152,2.9652054794520546,0.7043835616438356,1.2079452054794522,-0.2,31.64,16.91458,1.4
1990,4.537260273972603,3.0742465753424657,7.0569863013698635,5.921369863013699,7.351780821917808,7.05945205479452,4.966575342465753,2.518904109589041,4.69013698630137,8.764657534246576,10.265753424657534,-1.5191780821917809,3.2750684931506853,1.090958904109589,1.409041095890411,4.048076923076923,3.7038356164383566,3.0454794520547943,2.7624657534246575,3.549041095890411,0.7276712328767124,3.9265753424657537,2.233698630136986,3.68054794520548,0.6553424657534246,1.0772602739726027,-0.1,31.82,16.481619,1.4
1991,5.033698630136986,3.5786301369863014,6.810164835164835,5.215068493150685,7.164657534246575,7.097260273972603,4.738356164383561,3.1164383561643834,3.9263013698630136,8.954246575342466,10.193424657534246,0.11863013698630138,3.5372602739726027,1.113972602739726,1.378082191780822,3.5895890410958904,3.327671232876712,2.5024657534246573,2.1142465753424657,2.706849315068493,1.3057534246575344,3.6720547945205477,2.0832876712328767,3.175616438356164,1.0172602739726029,1.6934246575342466,0.4,32.72,15.973068,1.43
1992,5.648450704225352,3.7466666666666666,5.594808743169399,4.325409836065574,5.618005540166204,5.172853185595568,3.613114754098361,3.4092696629213486,3.6237704918032785,7.144321329639889,11.139779005524861,0.25861111111111107,3.1497191011235954,1.3901408450704225,0.9808333333333334,2.9262295081967213,3.0289617486338796,2.608864265927978,2.714681440443213,3.3693989071038253,0.8912921348314607,3.7975409836065577,2.572299168975069,3.136740331491713,0.7291666666666666,1.3289325842696629,-0.1,31.82,16.263006,1.63
1993,4.639344262295082,3.424458204334365,5.682465753424657,4.260000000000001,6.583282674772037,6.347058823529411,3.813835616438356,1.9482191780821918,3.8936986301369862,7.634193548387096,10.0621387283237,0.6539855072463768,3.0415841584158416,1.2222950819672131,1.1433436532507741,4.2224657534246575,3.744109589041096,2.9838414634146337,2.6727554179566564,3.5497260273972606,0.9794520547945206,4.2586301369863016,1.8683870967741938,2.4190751445086707,0.667391304347826,1.6207920792079207,0.4,32.72,16.09954,1.3
1994,4.392054794520548,2.3509589041095893,6.482465753424657,4.970684931506849,5.898356164383562,5.675068493150685,4.087534246575343,1.944931506849315,4.751232876712329,7.418904109589041,10.804109589041095,-0.38273972602739725,3.0635616438356164,0.9728767123287672,1.621917808219178,3.829041095890411,2.924109589041096,2.636164383561644,2.5895890410958904,3.4227397260273973,0.9997260273972604,4.486575342465753,1.9720547945205478,3.0605479452054793,0.7441095890410959,1.863835616438356,0.5,32.9,16.421047,1.36
1995,3.4356164383561643,1.7728767123287672,6.382739726027396,4.914794520547946,6.450287356321838,6.270136986301369,4.69013698630137,1.4693150684931506,4.467397260273972,7.887945205479451,11.09612188365651,0.053698630136986364,2.0720547945205476,1.1364383561643836,1.160821917808219,3.8676712328767127,3.3002739726027395,3.0764383561643838,2.7912328767123284,3.252876712328767,1.0287671232876712,4.467123287671233,2.5427397260273974,3.5257617728531856,0.6315068493150685,1.2183561643835616,0.5,32.9,16.681198,1.2
1996,1.6553424657534244,0.18032786885245902,6.431506849315069,5.449726775956284,6.5683060109289615,6.060382513661202,4.861731843575419,-0.49644808743169394,5.300819672131147,7.190983606557377,9.773553719008264,-15.557142857142859,0.1882513661202186,1.0312328767123287,1.7789617486338798,4.131506849315069,3.474863387978142,2.915573770491803,2.504918032786885,3.6946629213483146,1.219672131147541,3.990983606557377,2.649726775956284,3.99672131147541,1.5285714285714285,1.840983606557377,-0.1,31.82,17.056643,1.51
1997,4.3,3.42032967032967,5.707142857142857,4.419178082191781,5.886575342465753,5.508219178082192,3.716712328767123,2.6246575342465754,4.217260273972602,7.598904109589041,10.797534246575342,-5.994827586206896,2.374246575342466,1.1649315068493151,1.4401098901098903,3.0692307692307694,2.6734246575342464,3.0693150684931507,2.2909589041095892,2.9782548476454296,0.8572602739726026,3.9758904109589044,1.7221917808219178,4.169315068493151,0.47758620689655173,1.3323287671232877,0.6,33.08,17.366526,1.26
1998,4.559178082191781,3.250684931506849,7.496143250688705,6.336986301369863,8.643561643835616,8.326301369863014,6.0457534246575335,3.5997260273972604,5.617534246575342,10.204657534246575,11.353972602739725,0.17835616438356167,4.681917808219178,1.473150684931507,1.4008219178082193,3.798082191780822,3.575616438356164,2.4712328767123286,2.3964383561643836,3.095890410958904,0.7671232876712328,4.489041095890411,1.8687671232876713,3.1794520547945204,0.43534246575342467,1.42,2.3,36.14,17.462456,0.85
1999,5.13013698630137,2.8802739726027395,8.362739726027398,7.284383561643836,8.241873278236914,7.706849315068493,5.926575342465753,3.4238356164383563,6.634246575342465,9.508219178082191,10.286575342465753,-0.16657534246575342,4.462876712328767,1.2564383561643835,1.1882191780821918,3.643013698630137,3.2260273972602738,2.691780821917808,2.5175342465753423,3.10041095890411,1.0997260273972602,4.398082191780822,1.8131506849315067,3.82027397260274,0.686027397260274,1.455068493150685,1.7,35.06,17.7737,1.11
2000,3.669945355191257,1.7778688524590165,7.127322404371585,5.690437158469945,6.368508287292818,6.0396174863387975,4.622950819672131,2.099453551912568,5.855737704918032,8.271584699453552,10.131420765027322,0.33224043715846996,3.4836065573770494,1.1273224043715848,1.2330601092896176,3.7904371584699454,3.249453551912568,2.6934426229508195,2.669398907103825,2.8875683060109285,0.9415300546448088,4.528142076502732,2.0647540983606554,2.7617486338797814,0.8300546448087432,1.9628415300546447,0.8,33.44,18.330475,1.24
2001,5.006849315068493,3.3624657534246576,7.269315068493151,6.162465753424658,8.016712328767124,7.606575342465754,5.427123287671233,3.788219178082192,5.329315068493151,9.702739726027398,10.257534246575343,0.2304109589041095,4.634657534246576,0.8723287671232877,1.0893150684931507,2.932054794520548,2.5821917808219177,2.1065753424657534,2.172328767123288,2.287955182072829,0.43753424657534246,4.44986301369863,1.8915068493150684,3.228767123287671,0.7268493150684932,1.5126027397260275,1.8,35.24,17.888384,1.23
2002,3.7271232876712332,1.7564383561643837,6.643406593406593,5.53041095890411,7.546986301369864,6.928219178082192,4.693972602739726,1.941095890410959,4.748767123287671,9.476712328767123,10.352472527472528,0.5361643835616438,3.2675342465753427,0.9438356164383561,0.7326027397260273,3.9257971014492754,3.485753424657534,2.223972602739726,2.4347945205479453,2.5288674033149174,0.8200000000000001,3.7383561643835614,1.8134246575342465,2.3495890410958906,0.47863013698630136,1.3138356164383562,0.5,32.9,17.875952,1.27
2003,4.3032876712328765,1.7202739726027396,6.809041095890412,5.466027397260274,6.339452054794521,5.836164383561643,4.024657534246575,2.706027397260274,5.410684931506849,7.9838356164383555,10.961643835616439,0.11972602739726028,3.800821917808219,1.178082191780822,1.0917808219178082,3.890782122905028,3.1569863013698627,2.4784931506849315,2.68,3.414520547945205,0.6405479452054795,3.679178082191781,2.4536986301369863,3.0304109589041093,0.6145205479452055,1.1845205479452054,1.0,33.8,18.242983,1.19
2004,4.937978142076503,2.3743169398907105,6.090437158469945,5.091803278688524,6.226775956284153,5.810109289617486,3.968032786885246,2.0672131147540984,5.523770491803279,8.248633879781421,11.451639344262295,1.0989071038251366,2.6759562841530053,1.0568306010928963,1.2737704918032786,3.407377049180328,3.09344262295082,2.430601092896175,2.478415300546448,3.0423497267759565,1.1,4.073770491803279,2.0628415300546448,3.3076502732240436,0.7204918032786884,1.8808743169398907,0.0,32.0,18.024103,1.37
2005,4.935068493150685,3.1315068493150684,6.986575342465753,5.86,7.463013698630137,6.971506849315068,5.095342465753425,2.829315068493151,5.701917808219178,9.066849315068493,10.857534246575343,1.2556164383561643,4.20027397260274,1.4783561643835617,1.1835616438356165,4.247945205479452,3.8701369863013695,3.3745205479452056,2.759178082191781,3.3732876712328768,1.4328767123287671,4.895068493150685,2.1005479452054794,3.329315068493151,0.9167582417582417,1.8330136986301369,1.6,34.88,17.658808,1.17
2006,5.32,3.3473972602739726,7.895616438356164,7.083013698630137,8.215890410958904,7.683287671232877,6.116164383561644,3.367945205479452,6.397534246575343,9.791780821917808,10.697534246575342,-1.1356164383561644,5.387397260273973,1.1495890410958904,1.2972602739726027,3.7210958904109592,3.299178082191781,3.516164383561644,3.0473972602739723,3.4172602739726026,1.339178082191781,4.192602739726027,2.3717808219178083,3.3539726027397263,0.7802739726027398,0.8758241758241758,2.4,36.32,17.343943,0.99
2007,4.838082191780822,2.3298630136986302,6.261917808219178,5.301917808219178,6.934383561643836,6.502465753424658,4.572876712328767,2.1804532577903686,5.048219178082191,9.004383561643836,10.247671232876712,-0.5943620178041543,3.6301369863013697,1.401095890410959,1.0865753424657534,3.719178082191781,2.8906849315068492,2.72958904109589,2.467123287671233,3.352054794520548,1.0223463687150838,3.6635616438356164,1.6238356164383563,3.623013698630137,0.8131506849315069,1.4032876712328768,0.8,33.44,17.886063,0.93
2008,4.528961748633879,2.17896174863388,7.083606557377049,5.784153005464481,7.063387978142076,6.3210382513661205,4.643169398907104,1.7540616246498602,5.7366120218579235,8.272404371584699,9.85191256830601,-1.3019125683060109,2.577185792349727,1.3732240437158472,0.842896174863388,4.7346994535519125,3.6939890710382515,2.8407103825136613,2.7273224043715847,3.7920765027322405,0.9259776536312849,4.825409836065574,2.8677595628415298,2.8027322404371584,0.873224043715847,1.656986301369863,0.6,33.08,17.213322,0.9
2009,3.994246575342466,0.863013698630137,6.649041095890412,5.575616438356164,6.728082191780822,6.072328767123288,4.584383561643835,1.162258953168044,5.813150684931507,8.033150684931506,10.26986301369863,-0.44246575342465755,3.707123287671233,0.8986301369863013,0.8032876712328767,4.132328767123288,3.820821917808219,2.5708219178082192,2.808493150684931,3.074794520547945,1.2388513513513513,4.004383561643835,2.4767123287671233,2.987945205479452,0.8235616438356165,1.4886627906976744,0.7,33.26,16.04697,1.14
